t,['0.0:5.33e-07'],['5.33e-07:1.07e-06'],['1.07e-06:1.6e-06'],['1.6e-06:2.13e-06'],['2.13e-06:2.67e-06'],['2.67e-06:3.2e-06'],['3.2e-06:3.73e-06'],['3.73e-06:4.27e-06'],['4.27e-06:4.8e-06'],['4.8e-06:5.33e-06'],['5.33e-06:5.86e-06'],['5.86e-06:6.4e-06'],['6.4e-06:6.93e-06'],['6.93e-06:7.46e-06'],['7.46e-06:8e-06'],['8e-06:8.53e-06'],['8.53e-06:9.06e-06'],['9.06e-06:9.6e-06'],['9.6e-06:1.01e-05'],['1.01e-05:1.07e-05'],['1.07e-05:1.12e-05'],['1.12e-05:1.17e-05'],['1.17e-05:1.23e-05'],['1.23e-05:1.28e-05'],['1.28e-05:1.33e-05'],['1.33e-05:1.39e-05'],['1.39e-05:1.44e-05'],['1.44e-05:1.49e-05'],['1.49e-05:1.55e-05'],['1.55e-05:1.6e-05'],['1.6e-05:1.65e-05'],['1.65e-05:1.71e-05'],['1.71e-05:1.76e-05'],['1.76e-05:1.81e-05'],['1.81e-05:1.87e-05'],['1.87e-05:1.92e-05'],['1.92e-05:1.97e-05'],['1.97e-05:2.03e-05'],['2.03e-05:2.08e-05'],['2.08e-05:2.13e-05'],['2.13e-05:2.19e-05'],['2.19e-05:2.24e-05'],['2.24e-05:2.29e-05'],['2.29e-05:2.35e-05'],['2.35e-05:2.4e-05'],['2.4e-05:2.45e-05'],['2.45e-05:2.51e-05'],['2.51e-05:2.56e-05'],['2.56e-05:2.61e-05'],['2.61e-05:2.67e-05'],['2.67e-05:2.72e-05'],['2.72e-05:2.77e-05'],['2.77e-05:2.83e-05'],['2.83e-05:2.88e-05'],['2.88e-05:2.93e-05'],['2.93e-05:2.99e-05'],['2.99e-05:3.04e-05'],['3.04e-05:3.09e-05'],['3.09e-05:3.15e-05'],['3.15e-05:3.2e-05'],['3.2e-05:3.25e-05'],['3.25e-05:3.31e-05'],['3.31e-05:3.36e-05'],['3.36e-05:3.41e-05'],['3.41e-05:3.47e-05'],['3.47e-05:3.52e-05'],['3.52e-05:3.57e-05'],['3.57e-05:3.63e-05'],['3.63e-05:3.68e-05'],['3.68e-05:3.73e-05'],['3.73e-05:3.79e-05'],['3.79e-05:3.84e-05'],['3.84e-05:3.89e-05'],['3.89e-05:3.95e-05'],['3.95e-05:4e-05'],['4e-05:4.05e-05'],['4.05e-05:4.11e-05'],['4.11e-05:4.16e-05'],['4.16e-05:4.21e-05'],['4.21e-05:4.27e-05'],['4.27e-05:4.32e-05'],['4.32e-05:4.37e-05'],['4.37e-05:4.43e-05'],['4.43e-05:4.48e-05'],['4.48e-05:4.53e-05'],['4.53e-05:4.59e-05'],['4.59e-05:4.64e-05'],['4.64e-05:4.69e-05'],['4.69e-05:4.75e-05'],['4.75e-05:4.8e-05'],['4.8e-05:4.85e-05'],['4.85e-05:4.9e-05'],['4.9e-05:4.96e-05'],['4.96e-05:5.01e-05'],['5.01e-05:5.06e-05'],['5.06e-05:5.12e-05'],['5.12e-05:5.17e-05'],['5.17e-05:5.22e-05'],['5.22e-05:5.28e-05'],['5.28e-05:5.33e-05'],['5.33e-05:5.38e-05'],['5.38e-05:5.44e-05'],['5.44e-05:5.49e-05'],['5.49e-05:5.54e-05'],['5.54e-05:5.6e-05'],['5.6e-05:5.65e-05'],['5.65e-05:5.7e-05'],['5.7e-05:5.76e-05'],['5.76e-05:5.81e-05'],['5.81e-05:5.86e-05'],['5.86e-05:5.92e-05'],['5.92e-05:5.97e-05'],['5.97e-05:6.02e-05'],['6.02e-05:6.08e-05'],['6.08e-05:6.13e-05'],['6.13e-05:6.18e-05'],['6.18e-05:6.24e-05'],['6.24e-05:6.29e-05'],['6.29e-05:6.34e-05'],['6.34e-05:6.4e-05'],['6.4e-05:6.45e-05'],['6.45e-05:6.5e-05'],['6.5e-05:6.56e-05'],['6.56e-05:6.61e-05'],['6.61e-05:6.66e-05'],['6.66e-05:6.72e-05'],['6.72e-05:6.77e-05'],['6.77e-05:6.82e-05'],['6.82e-05:6.88e-05'],['6.88e-05:6.93e-05'],['6.93e-05:6.98e-05'],['6.98e-05:7.04e-05'],['7.04e-05:7.09e-05'],['7.09e-05:7.14e-05'],['7.14e-05:7.2e-05'],['7.2e-05:7.25e-05'],['7.25e-05:7.3e-05'],['7.3e-05:7.36e-05'],['7.36e-05:7.41e-05'],['7.41e-05:7.46e-05'],['7.46e-05:7.52e-05'],['7.52e-05:7.57e-05'],['7.57e-05:7.62e-05'],['7.62e-05:7.68e-05'],['7.68e-05:7.73e-05'],['7.73e-05:7.78e-05'],['7.78e-05:7.84e-05'],['7.84e-05:7.89e-05'],['7.89e-05:7.94e-05'],['7.94e-05:8e-05'],['8e-05:8.05e-05'],['8.05e-05:8.1e-05'],['8.1e-05:8.16e-05'],['8.16e-05:8.21e-05'],['8.21e-05:8.26e-05'],['8.26e-05:8.32e-05'],['8.32e-05:8.37e-05'],['8.37e-05:8.42e-05'],['8.42e-05:8.48e-05'],['8.48e-05:8.53e-05'],['8.53e-05:8.58e-05'],['8.58e-05:8.64e-05'],['8.64e-05:8.69e-05'],['8.69e-05:8.74e-05'],['8.74e-05:8.8e-05'],['8.8e-05:8.85e-05'],['8.85e-05:8.9e-05'],['8.9e-05:8.96e-05'],['8.96e-05:9.01e-05'],['9.01e-05:9.06e-05'],['9.06e-05:9.12e-05'],['9.12e-05:9.17e-05'],['9.17e-05:9.22e-05'],['9.22e-05:9.28e-05'],['9.28e-05:9.33e-05'],['9.33e-05:9.38e-05'],['9.38e-05:9.44e-05'],['9.44e-05:9.49e-05'],['9.49e-05:9.54e-05'],['9.54e-05:9.6e-05'],['9.6e-05:9.65e-05'],['9.65e-05:9.7e-05'],['9.7e-05:9.76e-05'],['9.76e-05:9.81e-05'],['9.81e-05:9.86e-05'],['9.86e-05:9.92e-05'],['9.92e-05:9.97e-05'],['9.97e-05:0.0001'],['0.0001:0.000101'],['0.000101:0.000101'],['0.000101:0.000102'],['0.000102:0.000102'],['0.000102:0.000103'],['0.000103:0.000103'],['0.000103:0.000104'],['0.000104:0.000104'],['0.000104:0.000105'],['0.000105:0.000106'],['0.000106:0.000106'],['0.000106:0.000107']
138.0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,10,11,6,6,6,8,7,9,7,12,2,6,1,2,3,8,2,4,1,0,5,3,9,2,3,5,2,5,6,2,1,5,3,3,0,1,2,0,3,0,5,1,1,2,1,1,2,3,1,0,2,0,0,1,2,1,0,0,0,1,1,3,0,3,6,1,2,2,7,2,7,6,3,3,3,9,3,4,1,2,3,4,2,4,6,5,1,5,3,3,0,3,4,3,3,1,1,1,0,4,1,1,3,3,4,2,4,9,0,1,4,3,0,2,5,2,4,3,1,2,1,6,5,8,4,3
139.0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,7,9,6,9,11,3,7,6,11,9,8,9,6,4,3,4,6,4,5,3,3,5,1,3,2,3,4,1,5,1,2,2,2,1,0,1,4,1,4,1,2,1,1,1,2,2,0,0,2,2,1,1,0,0,0,0,1,3,1,1,0,2,2,2,1,3,9,2,6,2,7,3,2,4,3,3,5,6,6,3,0,4,4,4,2,5,6,5,5,5,8,1,2,2,0,3,8,1,5,3,3,4,2,2,2,1,3,2,4,1,2,3,0,6,1,4,1,6,2,1,6,4,3,2,3,7
140.0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,10,8,4,6,7,10,10,9,9,13,10,4,8,4,9,3,3,5,7,2,3,2,4,4,4,4,4,3,2,3,2,0,2,3,5,1,1,1,0,7,1,2,0,4,3,1,0,1,1,5,2,0,2,1,3,1,1,3,1,2,1,1,1,1,1,3,6,3,2,2,5,5,4,5,2,2,7,3,3,1,2,5,10,3,7,4,2,1,7,6,0,3,3,2,0,3,7,3,1,0,7,2,2,2,1,1,1,0,5,1,1,3,2,3,3,1,2,3,1,1,3,3,2,3,2,5,3,4
141.0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,9,16,10,12,7,9,7,3,6,5,4,2,3,4,4,7,7,2,2,6,3,6,3,7,2,1,1,1,3,1,1,2,2,3,2,2,0,1,4,0,1,1,4,0,1,3,1,0,1,2,0,2,1,4,0,0,0,2,0,0,2,2,3,1,2,1,1,5,4,5,2,5,10,5,3,2,4,3,2,6,6,5,6,5,5,6,3,2,3,3,3,6,6,3,3,7,3,2,2,2,3,1,3,0,5,5,3,3,5,2,3,0,1,3,3,2,4,2,1,3,1,3,3,5,2
142.0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,4,7,12,10,9,12,5,7,13,6,7,7,5,2,10,8,8,8,4,1,8,5,0,5,1,2,2,5,2,1,0,7,2,2,1,0,3,2,0,1,1,0,2,2,1,3,1,2,0,1,0,0,1,2,1,1,1,1,1,0,1,2,1,1,5,5,4,3,3,4,4,4,4,3,6,2,5,5,11,3,3,3,5,5,2,0,1,3,4,2,4,2,1,2,4,2,2,2,3,2,3,4,2,2,3,4,2,3,7,1,4,2,2,0,3,1,2,2,5,4,3,1,2,9,3,5
143.0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,9,5,6,15,11,16,5,8,9,7,8,5,4,7,5,5,5,4,2,5,2,9,2,2,0,3,3,1,3,1,2,2,2,1,0,1,1,4,1,3,0,1,4,2,2,2,1,0,4,1,1,2,1,2,1,0,1,0,1,1,2,0,3,1,1,4,1,2,5,5,9,4,4,1,7,7,3,7,7,7,5,1,2,5,4,3,7,2,3,3,2,4,3,3,1,6,2,3,1,4,4,4,5,4,3,2,1,0,2,4,2,2,6,4,1,3,4,6,4,0,3,0,3,3,5,2
144.0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,5,5,4,7,14,9,10,11,6,9,5,7,7,7,8,4,4,5,4,3,3,3,3,9,4,2,2,3,0,3,3,3,1,1,1,2,2,2,3,3,1,1,0,1,4,0,2,1,0,1,0,0,1,1,2,0,2,1,1,2,0,1,0,2,0,2,0,1,2,2,6,3,6,3,3,4,3,7,4,3,6,5,5,5,5,3,0,4,4,3,1,2,3,0,3,2,5,4,1,2,1,1,1,2,3,4,1,2,2,2,1,2,3,5,2,2,3,2,1,3,2,3,5,2,4,3,4
145.0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,6,7,9,8,7,7,11,5,10,12,7,6,3,8,6,2,4,6,7,3,3,3,1,7,2,2,3,6,6,2,2,1,1,1,2,2,4,3,2,0,1,3,1,1,1,2,0,2,1,1,4,0,1,0,1,2,0,1,3,3,3,1,2,1,3,1,3,4,1,3,1,1,5,4,5,5,3,3,2,4,7,5,3,6,3,7,5,3,4,2,5,4,1,6,3,3,2,2,3,2,2,2,7,4,4,2,1,7,1,2,2,2,1,2,2,1,1,3,0,4,0,5,5,3,2,6,3
146.0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,9,10,10,9,8,8,9,5,8,8,13,8,6,4,3,3,4,6,3,6,6,3,1,6,4,3,3,4,1,2,2,2,2,2,0,2,2,1,2,3,1,6,1,0,1,1,1,1,0,3,0,0,1,2,2,0,0,0,0,1,0,1,0,3,4,2,2,4,1,7,3,4,4,4,3,3,3,5,5,8,3,4,4,2,3,6,4,4,3,2,4,5,4,3,2,2,0,2,0,1,2,2,5,1,2,2,2,3,3,3,2,5,2,3,2,6,4,3,2,7,5,2,2,5,2,1
147.0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,1,5,8,9,11,12,6,10,14,11,5,6,5,8,4,8,4,0,5,2,4,2,6,2,2,2,2,5,5,2,4,1,0,2,2,5,0,0,0,3,5,1,1,1,2,1,0,0,0,0,1,1,3,2,1,1,0,1,0,0,0,0,2,0,3,2,3,1,1,5,6,5,6,4,4,3,4,3,5,8,6,6,1,3,4,5,5,3,4,5,4,6,8,5,1,2,6,3,1,3,2,2,7,3,2,2,3,2,3,2,1,0,4,1,1,4,1,1,1,7,3,1,3,5,3,3,4
148.0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,8,10,14,5,12,6,14,9,3,9,15,8,4,1,10,5,3,4,5,3,6,5,4,4,1,3,3,2,2,1,3,3,4,5,2,0,5,1,3,2,3,1,1,1,1,2,2,1,1,2,1,2,2,2,1,0,3,2,2,2,4,2,1,3,1,5,4,1,2,1,3,7,5,6,5,5,4,1,8,4,8,6,4,10,8,4,3,5,1,3,2,4,3,1,1,1,4,2,3,3,2,4,1,2,5,3,4,2,0,2,0,1,2,3,1,1,3,1,1,4,1,0,4,3,3,3
149.0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,5,5,10,6,7,10,10,10,4,5,6,11,10,5,6,4,9,3,7,6,7,3,2,1,1,5,1,4,0,3,2,2,2,4,2,3,2,0,1,2,1,0,1,2,2,1,3,4,2,1,1,1,2,0,2,1,0,2,2,1,1,0,3,1,4,3,5,4,2,2,1,1,5,4,6,6,5,4,1,7,7,1,2,2,5,4,5,5,3,2,3,2,5,3,3,2,2,4,2,4,4,1,3,1,2,0,1,3,1,2,2,0,5,3,0,0,3,2,3,1,2,4,2,4,2,2
150.0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,10,9,16,6,6,17,6,16,8,4,2,7,10,8,4,5,2,5,5,3,2,0,3,3,2,4,3,0,2,1,1,2,3,4,0,4,1,1,2,0,2,1,3,1,2,0,1,1,0,1,0,0,3,1,3,0,0,3,1,3,0,0,2,1,3,8,2,7,4,3,6,3,4,2,4,5,6,3,3,2,4,4,5,2,4,10,1,8,7,1,3,4,0,4,3,2,3,2,2,3,2,0,2,3,4,3,3,3,3,1,4,2,1,3,5,3,0,3,2,2,2,2,4,5,2,4
151.0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,10,8,7,3,7,14,13,10,7,4,9,8,5,5,5,4,8,11,4,9,6,6,2,4,1,4,6,2,3,5,3,1,4,1,1,5,4,0,3,1,4,0,1,0,1,1,1,1,0,1,2,1,1,1,0,1,0,0,2,0,2,1,0,2,4,4,2,3,8,5,2,2,5,3,6,5,2,5,2,3,2,4,4,3,5,4,7,4,4,1,4,2,2,0,1,6,2,2,2,1,5,1,4,3,1,2,3,0,2,5,1,2,3,2,2,0,3,3,1,1,3,1,1,5,1,3,2
152.0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,3,8,8,13,9,22,11,10,9,6,9,9,7,9,8,5,6,10,5,3,5,9,6,3,4,7,2,6,3,1,1,5,2,1,1,3,1,1,0,1,3,1,2,2,0,1,1,0,2,2,1,1,1,1,2,2,3,1,3,0,2,2,1,0,2,1,4,1,3,1,2,7,5,11,5,8,1,2,5,7,2,8,4,4,5,7,3,2,0,3,7,3,2,5,3,3,5,1,2,6,2,3,3,2,1,3,2,2,3,1,2,2,5,4,6,2,2,4,1,4,3,2,4,1,4,1,2
153.0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,9,4,9,10,15,9,12,12,14,8,7,5,6,8,6,8,7,9,7,3,4,6,2,3,4,5,10,1,5,5,3,1,1,6,4,1,1,3,1,1,0,3,2,2,1,2,2,0,1,0,1,0,1,2,1,2,0,2,1,0,0,3,4,2,1,4,1,5,1,3,2,1,3,4,5,3,2,10,4,6,3,5,6,4,2,4,5,2,7,7,2,4,3,5,5,8,3,4,2,4,1,3,2,3,2,2,1,3,1,2,3,2,2,3,1,3,4,0,1,2,4,4,5,2,4,3,2
154.0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,13,11,12,9,7,13,5,5,3,5,6,9,7,5,8,6,2,3,2,4,2,3,3,1,4,2,2,4,2,4,4,2,3,3,1,2,4,1,2,2,4,2,1,0,0,2,1,2,1,0,0,1,1,1,1,0,1,2,0,0,1,0,7,2,3,3,0,6,5,6,2,7,3,6,9,3,7,7,4,5,6,4,2,2,3,5,1,1,5,5,3,4,3,0,4,2,2,0,3,3,2,3,1,5,2,5,1,4,2,5,2,4,5,3,5,2,2,3,1,5,1,0,6,7,4
155.0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,8,12,18,9,3,6,13,9,8,5,8,5,3,5,7,5,5,7,2,8,5,7,2,5,0,5,1,3,3,5,2,3,3,2,1,4,2,1,3,1,2,1,3,5,2,1,0,2,1,0,4,0,1,2,2,1,0,0,4,1,1,4,3,2,3,4,2,5,6,8,6,0,4,4,4,6,6,3,6,5,10,3,4,3,5,1,7,4,3,3,7,2,4,2,0,2,3,5,3,1,2,5,2,1,0,4,0,2,0,5,3,2,3,4,4,0,3,5,4,2,5,3,3,5,6,0
156.0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,9,15,5,10,7,5,9,8,10,7,9,3,4,6,6,2,1,4,3,5,2,2,1,2,6,3,2,2,2,1,2,1,5,2,0,2,2,3,1,1,1,2,1,0,1,0,2,2,2,3,4,2,0,2,3,0,2,1,2,3,1,3,1,3,2,3,4,7,6,3,6,5,2,3,7,4,9,4,4,5,5,4,10,8,2,2,7,3,5,6,5,8,4,7,4,3,2,4,3,2,2,5,2,4,2,3,2,7,1,2,0,4,3,1,1,2,2,3,1,2,1,2,1,3,2,3
157.0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,6,8,6,13,11,6,13,13,12,4,6,4,5,8,6,11,4,3,4,3,4,7,5,5,1,5,4,4,2,2,2,2,3,2,1,3,0,4,2,0,1,3,1,1,1,4,1,1,2,0,0,0,2,1,1,2,1,2,1,3,2,1,1,1,5,5,5,5,3,5,2,5,5,5,6,9,6,5,6,4,5,5,6,4,5,5,5,2,7,6,3,3,4,4,5,1,2,4,3,2,3,2,1,5,5,0,3,2,2,3,2,3,1,2,2,0,5,0,2,2,5,2,1,2,1,4,2
158.0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,6,7,14,13,9,13,7,14,8,12,8,6,3,6,6,8,6,1,6,2,11,3,3,3,2,5,3,3,1,5,6,1,1,3,6,2,6,1,3,5,2,2,1,0,0,2,3,3,1,1,0,0,1,2,0,1,3,3,1,2,0,2,0,2,2,4,3,5,2,1,10,8,2,6,6,9,4,2,6,5,7,3,3,3,3,6,6,4,5,5,9,4,2,3,3,3,4,3,3,3,2,3,5,2,2,3,4,0,4,1,2,3,1,3,1,0,2,4,1,2,3,4,2,6,6,3,1,4,2
159.0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,11,6,7,13,9,10,10,4,10,9,3,8,9,7,3,4,1,4,1,6,6,0,3,0,7,4,5,4,5,3,3,5,2,1,4,0,3,1,2,2,2,1,1,1,1,1,0,1,3,3,1,1,1,1,0,3,1,0,1,5,0,2,1,2,4,7,5,4,3,5,0,1,6,4,8,5,7,4,1,4,10,6,0,5,5,2,3,5,3,2,10,3,1,2,6,5,4,3,5,3,1,6,0,2,4,8,3,1,2,4,2,4,1,6,6,2,1,3,1,6,3,5,4,1,3,5,3,1
160.0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,7,6,11,4,7,7,6,6,5,4,6,10,7,7,5,5,6,5,5,5,7,11,4,2,2,2,1,3,6,1,5,0,2,3,0,1,1,1,3,4,1,1,0,0,2,2,0,2,0,4,0,1,2,0,5,1,0,1,1,1,0,2,2,3,6,4,4,5,2,5,6,5,7,3,6,5,7,6,2,5,5,4,3,4,4,5,5,4,1,5,5,4,3,3,5,3,3,3,1,2,3,2,1,3,3,2,2,1,2,2,3,5,2,2,3,2,0,3,0,0,2,3,7,5,6,1,4
161.0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,7,7,10,8,11,6,7,10,12,3,2,2,7,10,9,9,6,7,5,5,3,10,3,3,4,8,4,2,2,2,4,2,0,1,2,1,3,1,3,0,1,0,4,1,1,0,2,2,0,0,0,0,0,1,2,1,0,1,1,1,1,3,2,1,1,2,1,1,9,3,6,2,2,7,5,9,5,5,5,4,5,5,1,3,2,4,8,7,1,3,7,10,2,4,2,5,3,4,1,3,3,5,5,3,3,1,1,4,4,4,10,2,2,0,0,6,1,5,0,1,2,2,3,1,4,1,1
162.0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,12,15,12,8,15,9,4,5,10,4,3,6,4,6,5,6,3,6,1,2,6,3,3,1,4,6,6,4,3,0,3,4,1,1,1,1,3,6,0,1,3,0,2,2,2,0,2,2,1,2,1,2,0,1,3,0,1,0,0,2,3,3,4,1,4,8,4,2,8,3,6,7,6,4,4,4,8,3,4,5,3,7,3,2,3,6,3,4,2,5,1,2,3,6,7,2,3,2,6,4,5,4,1,4,2,3,3,1,3,3,1,4,1,2,2,2,0,5,3,1,1,2,2,3,3
163.0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,6,3,10,7,10,9,12,8,4,8,7,7,7,6,2,2,6,4,6,0,5,2,3,4,3,7,2,1,3,0,9,2,5,1,3,0,2,3,0,4,0,3,5,1,2,1,0,2,0,3,2,0,0,1,0,0,1,4,0,0,0,0,3,4,0,1,2,4,7,6,7,5,6,2,9,4,8,6,2,6,5,4,3,4,3,8,3,2,4,4,3,5,3,6,4,6,2,3,4,3,2,2,3,3,1,2,2,3,4,0,3,0,1,2,5,0,3,2,6,0,3,1,1,1,4,2,1
